marktName,price
LATAM,821.773333333
Air Transat,579.503333333
Porter Airlines,401.347142857
Volaris,492.8312
Frontier Airlines,130.124002463
Sun Country,215.750929878
United Airlines,205.121293982
Spirit Airlines,148.387582418
Aeromexico,605.852090909
Air Canada,513.361307692
Silver Airways,238.839166667
Canada Jetlines,431.302857143
WestJet,493.41875
Key Lime Air,287.296
American Airlines,207.111420384
Flair Airlines,392.924905660
Breeze Airways,258.858333333
Lynx Air,391.121063830
Alaska Airlines,253.125625
Allegiant Air,202.955390071
